seller_gst,product_category,subtotal,taxes,total_amount,gst_percentage,is_fraud,fraud_type
10PKUEO9890P1Z5,Books,40083.97,2004.2,42088.17,5.0,0,None
SPRQJ6FX5RG6BBH,Essential Medicine,37018.48,4442.22,41460.700000000004,12.0,1,Invalid GSTIN
26NRFRB9348I1Z5,Luxury Goods,40129.17,11236.17,51365.34,28.000000000000004,0,None
07XSHIX3751M1Z5,Electronics,10179.96,1832.39,12012.349999999999,18.0,0,None
09WUTVY0608F1Z5,Grocery,13921.54,1670.58,15592.12,5.0,1,Rate Mismatch
34PDJGW9016Q1Z5,Services,22675.28,4081.55,26756.829999999998,18.0,0,None
04VKJLJ1417J1Z5,Grocery,19523.93,976.2,20500.13,5.0,0,None
RA5UD2SPF6DA9UQ,Services,36359.13,6544.64,42903.77,18.0,1,Invalid GSTIN
02UZDXR5026U1Z5,Grocery,1556.19,77.81,1634.0,5.0,0,None
05CHSJT9268F1Z5,Essential Medicine,26947.5,3233.7,30131.2,12.0,1,Calculation Error
07GRRIK4494Z1Z5,Essential Medicine,17073.03,2048.76,19121.79,12.0,0,None
12MGTVB1467P1Z5,Books,44902.29,2245.11,47147.4,5.0,0,None
23SPPVU0679H1Z5,Books,36511.49,1825.57,38337.06,5.0,0,None
23RNRDO0895C1Z5,Books,36184.94,1809.25,37994.19,5.0,0,None
14IJFOU5008B1Z5,Services,33202.43,5976.44,39178.87,18.0,0,None
34TLRMW3647Q1Z5,Grocery,17470.98,873.55,18344.53,5.0,0,None
11GVIOD5399V1Z5,Essential Medicine,21277.68,2553.32,23831.0,12.0,0,None
EBTIU0HERRD9R1B,Luxury Goods,6636.14,1858.12,8494.26,28.000000000000004,1,Invalid GSTIN
03RVJLI7892L1Z5,Grocery,21838.9,1091.95,22930.850000000002,5.0,0,None
28ETFQW8157N1Z5,Luxury Goods,6028.97,1688.11,7717.08,28.000000000000004,0,None
32NJEPH4482L1Z5,Luxury Goods,4726.81,1323.51,6050.320000000001,28.000000000000004,0,None
03NNYIH2205D1Z5,Services,3507.13,631.28,4138.41,18.0,0,None
10NEYSS2710T1Z5,Books,26472.28,1323.61,27795.89,5.0,0,None
05HUDSH4202Q1Z5,Books,24786.63,1239.33,26025.96,5.0,0,None
03GPUCB2254V1Z5,Essential Medicine,38225.23,4587.03,42812.26,12.0,0,None
31QSRIE6401D1Z5,Electronics,19822.38,3568.03,23390.41,18.0,0,None
24TLWNE2851W1Z5,Luxury Goods,27333.91,7653.49,34987.4,28.000000000000004,0,None
21RNPIJ2446W1Z5,Luxury Goods,46996.32,13158.97,60155.29,28.000000000000004,0,None
19CVODH2166M1Z5,Services,49270.62,8868.71,58139.33,18.0,0,None
07KZHAK4205B1Z5,Services,49496.86,8909.43,58406.29,18.0,0,None
01RBJSN7275G1Z5,Services,17955.84,3232.05,21187.89,18.0,0,None
0PBGQXDN8MRYCGD,Essential Medicine,16840.76,2020.89,18861.649999999998,12.0,1,Invalid GSTIN
08SOLII4228U1Z5,Luxury Goods,6845.82,1916.83,8762.65,28.000000000000004,0,None
25ONVJE6445S1Z5,Services,46921.18,8445.81,55366.99,18.0,0,None
32WWVRI9572L1Z5,Books,1126.87,56.34,1183.2099999999998,5.0,0,None
YCCE7ACANHIJ70P,Grocery,47555.41,2377.77,49933.18,5.0,1,Invalid GSTIN
19SXESZ9059J1Z5,Luxury Goods,22703.42,6356.96,29060.379999999997,28.000000000000004,0,None
19WOBWM4324T1Z5,Grocery,18425.43,921.27,19346.7,5.0,0,None
21AJGLD4092K1Z5,Luxury Goods,44744.53,12528.47,57273.0,28.000000000000004,0,None
26WKCTB9525A1Z5,Essential Medicine,15522.71,1862.73,17385.44,12.0,0,None
37PGSZC1902N1Z5,Grocery,19340.14,967.01,20307.149999999998,5.0,0,None
14GCWSA6369M1Z5,Services,13630.56,1635.67,15266.23,18.0,1,Rate Mismatch
27ULWPH7333G1Z5,Luxury Goods,48691.75,13633.69,62325.44,28.000000000000004,0,None
35SCGKT7059G1Z5,Luxury Goods,16865.76,4722.41,21588.17,28.000000000000004,0,None
11AHCRE2799W1Z5,Books,23490.22,1174.51,24664.73,5.0,0,None
08GBLPZ5448M1Z5,Services,10303.49,1854.63,12158.119999999999,18.0,0,None
16KAHRN1068S1Z5,Essential Medicine,10280.59,1233.67,11514.26,12.0,0,None
20MNFVM6772U1Z5,Electronics,29387.59,5289.77,34677.36,18.0,0,None
28OPGXJ3969A1Z5,Books,5610.72,280.54,5891.26,5.0,0,None
02LTMNR5133M1Z5,Luxury Goods,4927.74,246.39,5174.13,28.000000000000004,1,Rate Mismatch
16NBEUM5734T1Z5,Luxury Goods,20335.97,5694.07,25980.04,28.000000000000004,1,Calculation Error
02UGMUA3179N1Z5,Grocery,13460.23,673.01,14133.24,5.0,0,None
16VZZHP2909E1Z5,Essential Medicine,2762.46,0,-100,12.0,1,Anomalous Value
24QBOAY3412G1Z5,Books,7469.63,373.48,7843.110000000001,5.0,0,None
31ZGMMP5394I1Z5,Electronics,35017.98,6303.24,41321.22,18.0,0,None
22JDBDU1674B1Z5,Services,8316.64,1497.0,9813.64,18.0,0,None
31FMYRD0430J1Z5,Services,45300.33,2265.02,47565.35,18.0,1,Rate Mismatch
26FXAXP3333Q1Z5,Services,38129.19,6863.25,44942.44,18.0,1,Calculation Error
14SLWUA5825R1Z5,Luxury Goods,29009.75,8122.73,37132.479999999996,28.000000000000004,0,None
20WFSTD3390Z1Z5,Essential Medicine,27040.5,3244.86,30285.36,12.0,0,None
30UVUJC6948M1Z5,Electronics,14532.95,2615.93,17148.88,18.0,0,None
02WMIUB0776B1Z5,Books,4087.0,204.35,4291.35,5.0,0,None
23BCLUP7070U1Z5,Luxury Goods,2802.11,784.59,3586.7000000000003,28.000000000000004,0,None
19TZOXI5685U1Z5,Essential Medicine,22203.93,2664.47,24868.4,12.0,0,None
11JSLOT2337F1Z5,Electronics,25423.81,4576.29,30000.100000000002,18.0,0,None
32COJMH1191N1Z5,Electronics,43401.35,7812.24,51213.59,18.0,0,None
08LASST4056P1Z5,Essential Medicine,26595.46,3191.46,29786.92,12.0,0,None
09DDWRZ8645F1Z5,Essential Medicine,48273.95,5792.87,54066.82,12.0,0,None
35UAVCI2766X1Z5,Luxury Goods,23057.75,6456.17,29513.92,28.000000000000004,0,None
19LOUAN1183I1Z5,Grocery,34166.43,1708.32,35874.75,5.0,0,None
34PLMMJ3038K1Z5,Services,45963.04,8273.35,54236.39,18.0,0,None
11QUHFQ2214T1Z5,Essential Medicine,17398.76,2087.85,19486.609999999997,12.0,0,None
25LTZZA0210Y1Z5,Essential Medicine,49422.95,2471.15,51894.1,12.0,1,Rate Mismatch
S5P4MP2F4V40D3Q,Books,36647.45,1832.37,38479.82,5.0,1,Invalid GSTIN
01CWJTK7360Y1Z5,Essential Medicine,35283.34,4234.0,39517.34,12.0,0,None
22DOPOY4885O1Z5,Luxury Goods,22335.3,6253.88,28589.18,28.000000000000004,0,None
23YYWMK2221Y1Z5,Books,17207.76,860.39,18068.149999999998,5.0,0,None
G1DUXDW2GE0I2JE,Books,30258.51,1512.93,31771.44,5.0,1,Invalid GSTIN
31OMWYN4425X1Z5,Electronics,38017.34,6843.12,44860.46,18.0,0,None
35KZWII7080R1Z5,Electronics,48107.11,8659.28,56766.39,18.0,0,None
HFFZDJXN6MGWYX8,Essential Medicine,43013.49,5161.62,48175.11,12.0,1,Invalid GSTIN
10HBNUM5461J1Z5,Services,3535.16,636.33,4121.49,18.0,1,Calculation Error
06SBBYX1518O1Z5,Books,18301.53,915.08,19216.61,5.0,0,None
25GGDPV5112F1Z5,Electronics,28184.35,7891.62,36075.97,18.0,1,Rate Mismatch
14TIPII1423O1Z5,Essential Medicine,41122.55,2056.13,43178.68,12.0,1,Rate Mismatch
23VMDKA4042Q1Z5,Services,10980.45,1976.48,12956.93,18.0,0,None
33DPVWU6376X1Z5,Services,22212.0,3998.16,26210.16,18.0,0,None
25HAMWS3811M1Z5,Electronics,47231.19,8501.61,55782.8,18.0,1,Calculation Error
34XQLZZ8263J1Z5,Essential Medicine,11108.48,1333.02,12441.5,12.0,0,None
13XFFCN7282O1Z5,Grocery,34155.07,1707.75,35862.82,5.0,0,None
32RDLJF7464A1Z5,Grocery,34554.37,0,-100,5.0,1,Anomalous Value
26EQYXL8359T1Z5,Books,35053.52,1752.68,36806.2,5.0,0,None
L8JBC039CWWSYO2,Services,14866.74,2676.01,17542.75,18.0,1,Invalid GSTIN
08KAKMJ9929K1Z5,Grocery,15360.97,768.05,16129.019999999999,5.0,0,None
10ZXJFW5217W1Z5,Essential Medicine,37448.37,4493.8,41942.170000000006,12.0,0,None
12NYKBU3774R1Z5,Electronics,30689.13,5524.04,36213.17,18.0,0,None
05OIGCH6189C1Z5,Books,25929.53,7260.27,33189.8,5.0,1,Rate Mismatch
24EKIAE9399Z1Z5,Grocery,45810.86,2290.54,48101.4,5.0,0,None
37IBRTT4138F1Z5,Electronics,45553.42,8199.62,53753.04,18.0,0,None
30VVEVG4442E1Z5,Electronics,11348.0,2042.64,13390.64,18.0,0,None
33CLQFZ3229Y1Z5,Grocery,8720.75,436.04,9156.79,5.0,0,None
24QLJJF7628K1Z5,Books,31805.27,1590.26,33395.53,5.0,0,None
33ZNCAJ3315Y1Z5,Luxury Goods,16851.16,4718.32,21569.48,28.000000000000004,0,None
29BHKPX8591D1Z5,Books,25817.45,4647.14,30464.59,5.0,1,Rate Mismatch
11MZTCC3182F1Z5,Services,5679.36,1022.28,6701.639999999999,18.0,0,None
03BWNCO6965A1Z5,Grocery,35645.38,1782.27,37427.649999999994,5.0,0,None
25ZTAPH8718P1Z5,Services,9434.49,1698.21,11132.7,18.0,0,None
36CDEFW8933K1Z5,Books,30107.09,1505.35,31612.44,5.0,0,None
34OFJKN9409U1Z5,Essential Medicine,30621.15,3674.54,34295.69,12.0,0,None
08DIPFY7470R1Z5,Electronics,23799.01,4283.82,28082.829999999998,18.0,0,None
5M4SFAXEF4N81MI,Luxury Goods,25097.19,7027.21,32124.399999999998,28.000000000000004,1,Invalid GSTIN
17YDMHA9098X1Z5,Essential Medicine,10506.54,1260.78,11767.320000000002,12.0,0,None
21NZCPY6401E1Z5,Luxury Goods,31974.4,8952.83,40927.23,28.000000000000004,0,None
36LLZGP4258T1Z5,Electronics,22523.0,4054.14,26577.14,18.0,0,None
08FYYSG2715I1Z5,Services,24743.62,0,-100,18.0,1,Anomalous Value
NLXYGSMY7EN0R35,Services,11654.98,2097.9,13752.88,18.0,1,Invalid GSTIN
30PSDTM6669X1Z5,Books,352.37,17.62,369.99,5.0,0,None
07AMRPK3613I1Z5,Services,3032.9,545.92,3578.82,18.0,0,None
35MQKKW7216K1Z5,Electronics,8174.55,1471.42,9645.970000000001,18.0,0,None
28NSUDC6972A1Z5,Essential Medicine,26526.4,3183.17,29709.57,12.0,0,None
32JRZFU4759W1Z5,Books,26818.37,1340.92,28159.29,5.0,0,None
33DUXCE9991X1Z5,Electronics,26925.89,4846.66,31772.55,18.0,0,None
07MFSDK0836N1Z5,Luxury Goods,25990.62,7277.37,33267.99,28.000000000000004,0,None
21UIOPD6031C1Z5,Services,31197.51,5615.55,36813.06,18.0,0,None
07VXZZR5563A1Z5,Electronics,8101.11,1458.2,9559.31,18.0,0,None
36ICVFA3062I1Z5,Services,28169.72,0,-100,18.0,1,Anomalous Value
34NIFJW2086Q1Z5,Services,43519.41,7833.49,51402.9,18.0,1,Calculation Error
05BQMUF5804J1Z5,Luxury Goods,49726.48,0,-100,28.000000000000004,1,Anomalous Value
34CDGGB6132A1Z5,Grocery,12570.68,628.53,13199.210000000001,5.0,0,None
20AQCTD5538B1Z5,Services,28791.85,8061.72,36853.57,18.0,1,Rate Mismatch
27UAAYT1072V1Z5,Grocery,45983.65,2299.18,48282.83,5.0,0,None
08WRIOG8060V1Z5,Essential Medicine,20734.63,2488.16,23172.79,12.0,1,Calculation Error
35QZCVS0134W1Z5,Essential Medicine,43954.56,5274.55,49229.11,12.0,0,None
13IZGJQ1974B1Z5,Electronics,9066.94,1632.05,10698.99,18.0,0,None
16ZKSXB2901E1Z5,Essential Medicine,23841.52,2860.98,26702.5,12.0,0,None
34YCWQJ8423M1Z5,Books,42919.01,2145.95,45064.96,5.0,0,None
01GZMZD7197B1Z5,Books,30914.67,1545.73,32460.399999999998,5.0,0,None
17TMPQR0042Z1Z5,Services,3898.23,701.68,4599.91,18.0,0,None
30JPLUG9652G1Z5,Services,35453.93,6381.71,41835.64,18.0,0,None
18TAGHV2040T1Z5,Grocery,39001.32,1950.07,40951.39,5.0,0,None
26JLJFO9424I1Z5,Electronics,39790.64,1989.53,41780.17,18.0,1,Rate Mismatch
34GPFKW7275H1Z5,Essential Medicine,4272.01,768.96,5040.97,12.0,1,Rate Mismatch
04APBJG9399V1Z5,Books,33767.6,1688.38,35455.979999999996,5.0,0,None
20MKHDN7338O1Z5,Electronics,1364.35,245.58,1609.9299999999998,18.0,0,None
21PYZVH1808W1Z5,Grocery,14281.25,1713.75,15995.0,5.0,1,Rate Mismatch
19TALAM8548G1Z5,Grocery,2516.69,125.83,2642.52,5.0,0,None
14VONER2044I1Z5,Grocery,23928.35,1196.42,25124.769999999997,5.0,0,None
13ZXXGN1009B1Z5,Electronics,45762.82,8237.31,54000.13,18.0,0,None
31LPBFL5548H1Z5,Electronics,13726.75,2470.82,16197.57,18.0,0,None
02COXHD6021D1Z5,Essential Medicine,31770.01,3812.4,35582.409999999996,12.0,0,None
37EFJBQ0098B1Z5,Electronics,18835.83,5274.03,24109.86,18.0,1,Rate Mismatch
16SEHWS4222E1Z5,Grocery,6524.06,326.2,6850.26,5.0,0,None
37SZTED3095I1Z5,Services,37064.24,6671.56,43735.799999999996,18.0,0,None
32KZMYG1612A1Z5,Luxury Goods,18664.08,5225.94,23890.02,28.000000000000004,0,None
07KUUYN7025I1Z5,Services,12380.74,2228.53,14609.27,18.0,0,None
T93KYG8CWCW705I,Luxury Goods,37561.68,10517.27,48078.95,28.000000000000004,1,Invalid GSTIN
C9RETXQR7OCN9F1,Luxury Goods,9674.83,2708.95,12383.779999999999,28.000000000000004,1,Invalid GSTIN
18ZEZTE7973E1Z5,Electronics,16872.13,0,-100,18.0,1,Anomalous Value
24KWJUB8788W1Z5,Luxury Goods,42930.63,12020.58,54951.21,28.000000000000004,0,None
36VPRGD0891Z1Z5,Electronics,15328.67,2759.16,18087.83,18.0,0,None
25RDSQX1145R1Z5,Luxury Goods,25545.69,7152.79,32698.48,28.000000000000004,0,None
32BGGQQ0904N1Z5,Electronics,25172.36,4531.02,29703.38,18.0,0,None
08AROIG6653K1Z5,Books,42391.53,2119.58,44511.11,5.0,0,None
05KVESE1065H1Z5,Grocery,44457.38,2222.87,46680.25,5.0,0,None
27XDJAQ2184B1Z5,Luxury Goods,12090.59,3385.37,15475.96,28.000000000000004,0,None
31RKUHA7240N1Z5,Books,35907.64,1795.38,37703.02,5.0,0,None
19GTSXM0803R1Z5,Books,24239.52,1211.98,25451.5,5.0,0,None
36YFKFZ1091O1Z5,Grocery,48152.36,2407.62,50559.98,5.0,0,None
28EKZFG8944Y1Z5,Electronics,39453.5,7101.63,46555.13,18.0,0,None
02SSZOW5454E1Z5,Luxury Goods,39964.2,11189.98,51104.17999999999,28.000000000000004,1,Calculation Error
25MMEMD4045M1Z5,Services,22834.71,0,-100,18.0,1,Anomalous Value
23RCMBF3072Z1Z5,Grocery,23780.94,1189.05,24969.989999999998,5.0,0,None
10MJNWZ4455K1Z5,Grocery,11835.29,591.76,12377.050000000001,5.0,1,Calculation Error
19FQDYQ6293D1Z5,Services,49889.24,8980.06,58969.299999999996,18.0,1,Calculation Error
28INKRF2893Q1Z5,Luxury Goods,46650.39,13062.11,59712.5,28.000000000000004,0,None
UT2GQR663NJ7NBD,Services,40794.32,7342.98,48137.3,18.0,1,Invalid GSTIN
01ZDVZB1054D1Z5,Luxury Goods,21782.83,6099.19,27882.02,28.000000000000004,0,None
01ZNHEH7561M1Z5,Essential Medicine,33184.97,3982.2,37167.17,12.0,0,None
01MLZIU0682B1Z5,Luxury Goods,47106.07,13189.7,60295.770000000004,28.000000000000004,0,None
36OOKPL3281W1Z5,Electronics,46834.41,8430.19,55264.600000000006,18.0,0,None
09KVGYE9898G1Z5,Essential Medicine,26234.48,7345.65,33580.13,12.0,1,Rate Mismatch
6XJZN8394L1FZBH,Books,24696.19,1234.81,25931.0,5.0,1,Invalid GSTIN
02OPZPH5995S1Z5,Books,39989.55,1999.48,41989.030000000006,5.0,0,None
21FTDOR3526T1Z5,Grocery,28120.81,1406.04,29526.850000000002,5.0,0,None
31MULPU6618X1Z5,Luxury Goods,46463.23,13009.7,59472.93000000001,28.000000000000004,0,None
25QWTMW1776P1Z5,Electronics,25890.49,4660.29,30550.780000000002,18.0,0,None
26YQIIS4126G1Z5,Grocery,32240.42,1612.02,33852.439999999995,5.0,0,None
19SHESC8639N1Z5,Books,45324.63,2266.23,47640.86,5.0,1,Calculation Error
33QFPCB1035L1Z5,Services,1595.01,287.1,1882.1100000000001,18.0,0,None
06NGHQI6919Y1Z5,Services,11482.01,1377.84,12859.85,18.0,1,Rate Mismatch
01FCIGJ4234N1Z5,Essential Medicine,7204.12,864.49,8068.61,12.0,0,None
28EIFLO6113G1Z5,Grocery,4769.98,238.5,5008.48,5.0,0,None
29EFQPE5045R1Z5,Luxury Goods,25868.62,7243.21,33111.83,28.000000000000004,0,None
01UFDMV8683T1Z5,Electronics,17026.8,3064.82,20091.62,18.0,0,None
31YMADX4817T1Z5,Luxury Goods,20720.09,1036.0,21756.09,28.000000000000004,1,Rate Mismatch
26RHZPP2529H1Z5,Luxury Goods,45164.83,12646.15,57810.98,28.000000000000004,0,None
BUPU3VOK8LPXA4N,Grocery,27935.39,1396.77,29332.16,5.0,1,Invalid GSTIN
06CVIFF3209A1Z5,Electronics,21176.2,3811.72,24987.920000000002,18.0,0,None
04JAUKG7243W1Z5,Essential Medicine,16423.03,1970.76,18343.789999999997,12.0,1,Calculation Error
17WMYHZ5131D1Z5,Luxury Goods,1473.56,412.6,1886.1599999999999,28.000000000000004,0,None
21GBONL7218T1Z5,Electronics,45178.88,8132.2,53311.079999999994,18.0,0,None
29VKZE23OT2TL5A,Grocery,38335.06,1916.75,40251.81,5.0,1,Invalid GSTIN
22HCQCD3729M1Z5,Electronics,15264.62,2747.63,18012.25,18.0,0,None
01AQYNX3532T1Z5,Electronics,37315.04,6716.71,44031.75,18.0,0,None
25ZOENC3644C1Z5,Services,38341.2,6901.42,45242.619999999995,18.0,0,None
35JTWTY9790U1Z5,Essential Medicine,45969.21,5516.31,51585.52,12.0,1,Calculation Error
UEK0KZVGB1QIAWT,Electronics,9021.41,1623.85,10645.26,18.0,1,Invalid GSTIN
17QGWLG8668T1Z5,Books,26045.2,1302.26,27347.46,5.0,0,None
35SHNBQ5650K1Z5,Services,29669.37,0,-100,18.0,1,Anomalous Value
30HFFYB6655O1Z5,Electronics,43908.36,0,-100,18.0,1,Anomalous Value
11AVHBZ1526X1Z5,Grocery,10517.06,525.85,11042.91,5.0,0,None
29WSPOP7955L1Z5,Electronics,37061.66,6671.1,43732.76,18.0,0,None
28KWKUY2667E1Z5,Grocery,22473.14,1123.66,23596.8,5.0,0,None
03TZOCX2430S1Z5,Grocery,5015.05,0,-100,5.0,1,Anomalous Value
14YBFFP0161P1Z5,Essential Medicine,42438.51,5092.62,47531.130000000005,12.0,0,None
02RHSBX0601W1Z5,Services,41790.2,0,-100,18.0,1,Anomalous Value
32JCWQC5805S1Z5,Grocery,45286.71,8151.61,53438.32,5.0,1,Rate Mismatch
22BWFYT0669D1Z5,Grocery,26458.59,4762.55,31221.14,5.0,1,Rate Mismatch
05MFKUT5944G1Z5,Services,36555.22,6579.94,43135.16,18.0,0,None
34CORLK9767O1Z5,Books,6052.26,302.61,6354.87,5.0,0,None
28AVILC8766Y1Z5,Services,33292.82,5992.71,39285.53,18.0,0,None
09BBRVS0505E1Z5,Essential Medicine,4971.56,596.59,5668.150000000001,12.0,1,Calculation Error
19CRMSW0311X1Z5,Books,2687.01,322.44,3009.4500000000003,5.0,1,Rate Mismatch
34MCMGE6259T1Z5,Books,38556.09,6940.1,45496.189999999995,5.0,1,Rate Mismatch
16SJNHO3212N1Z5,Electronics,41656.81,7498.23,49155.03999999999,18.0,0,None
7NFECEBD415DOLO,Books,24282.78,1214.14,25496.92,5.0,1,Invalid GSTIN
33XWRXC8801U1Z5,Services,7566.75,1362.01,8928.76,18.0,0,None
06NJNLQ6592Y1Z5,Books,2287.48,114.37,2401.85,5.0,0,None
14WTTWV6921Q1Z5,Electronics,27423.63,4936.25,32359.88,18.0,0,None
01OYVQX5994M1Z5,Grocery,49847.4,2492.37,52339.770000000004,5.0,0,None
18WYCVA7260U1Z5,Books,2497.6,124.88,2622.48,5.0,0,None
08LEMFZ7243Q1Z5,Books,20654.68,1032.73,21687.41,5.0,0,None
11DNNPG5405A1Z5,Electronics,25060.91,4510.96,29571.87,18.0,0,None
08IODRW8715H1Z5,Grocery,12084.39,2175.19,14259.58,5.0,1,Rate Mismatch
BU6ZGNXRW4CADWO,Services,13553.16,2439.57,15992.73,18.0,1,Invalid GSTIN
05IPUUA6005W1Z5,Electronics,42167.75,7590.19,49757.94,18.0,0,None
28RJIRA0965E1Z5,Essential Medicine,43416.01,5209.92,48625.93,12.0,0,None
13VTSTE2885D1Z5,Essential Medicine,37797.92,4535.75,42333.67,12.0,0,None
34LPCMZ1299G1Z5,Books,40092.48,2004.62,42097.100000000006,5.0,0,None
03TMPAE2071U1Z5,Grocery,10699.76,0,-100,5.0,1,Anomalous Value
02AGRSD4222G1Z5,Grocery,1339.9,67.0,1406.9,5.0,0,None
27ZFBHU2231I1Z5,Grocery,27263.11,1363.16,28626.27,5.0,0,None
17ROXDT1889F1Z5,Services,43785.98,7881.48,51667.46000000001,18.0,0,None
03BYSHS1074O1Z5,Essential Medicine,16414.97,1969.8,18384.77,12.0,0,None
07DNFFB2839O1Z5,Essential Medicine,45584.78,5470.17,51054.95,12.0,0,None
02CSKQG5461F1Z5,Grocery,19526.05,976.3,20502.35,5.0,0,None
34JWWSG8808Q1Z5,Grocery,33064.86,1653.24,34718.1,5.0,0,None
32XFTNV1489F1Z5,Services,12587.42,2265.74,14853.16,18.0,0,None
25UMWQT4767Z1Z5,Essential Medicine,4379.18,525.5,4904.68,12.0,0,None
06NOGSI4776T1Z5,Books,45540.19,2277.01,47817.200000000004,5.0,0,None
26QUHCC4349O1Z5,Grocery,40406.08,2020.3,42426.380000000005,5.0,0,None
14KFHRB4698I1Z5,Grocery,19984.49,999.22,20983.710000000003,5.0,0,None
15WGFHG6638Y1Z5,Services,38182.78,6872.9,45155.68,18.0,1,Calculation Error
30NDZDF3700K1Z5,Luxury Goods,19114.06,5351.94,24466.0,28.000000000000004,0,None
04EDGAC4580K1Z5,Books,3071.18,153.56,3224.74,5.0,0,None
16GILTQ3246B1Z5,Luxury Goods,6320.78,1769.82,8090.599999999999,28.000000000000004,0,None
33SGWER6375A1Z5,Luxury Goods,48198.59,13495.61,61694.2,28.000000000000004,0,None
12AXCVY7619H1Z5,Luxury Goods,21026.05,5887.29,26913.34,28.000000000000004,0,None
30HADCV0484L1Z5,Electronics,2289.53,412.12,2701.65,18.0,0,None
25QCDRX3509J1Z5,Electronics,4011.2,200.56,4211.76,18.0,1,Rate Mismatch
01JXKKF7628P1Z5,Books,43511.9,2175.6,45687.5,5.0,0,None
05GVCMG1841A1Z5,Services,43454.89,7821.88,51276.77,18.0,0,None
26QOFTC4936C1Z5,Grocery,25594.25,1279.71,26873.96,5.0,0,None
24PSPGS0321W1Z5,Books,33889.82,1694.49,35584.31,5.0,0,None
34UURQF4864W1Z5,Luxury Goods,20369.24,0,-100,28.000000000000004,1,Anomalous Value
34CNBSB6788Y1Z5,Books,33814.25,1690.71,35504.96,5.0,0,None
09EKBNE9560E1Z5,Services,620.97,111.77,732.74,18.0,0,None
05KYRZB1741B1Z5,Electronics,23746.22,4274.32,28020.54,18.0,0,None
30QQZXA9768D1Z5,Services,45265.65,8147.82,53413.47,18.0,0,None
37GNWZI2975T1Z5,Luxury Goods,22917.3,6416.84,29334.14,28.000000000000004,0,None
16TTAFU9395Z1Z5,Grocery,25127.62,1256.38,26384.0,5.0,0,None
06MDKNV5734F1Z5,Grocery,15563.36,778.17,16441.53,5.0,1,Calculation Error
03VMDQB7693W1Z5,Grocery,12522.69,626.13,13148.82,5.0,0,None
21QNLBB3399W1Z5,Essential Medicine,16305.05,1956.61,18261.66,12.0,0,None
26RTBOF5099T1Z5,Books,6632.89,331.64,6964.530000000001,5.0,0,None
UF00QR7F4OJRZAD,Luxury Goods,33728.72,9444.04,43172.76,28.000000000000004,1,Invalid GSTIN
05ULYMN5513Y1Z5,Luxury Goods,38011.63,10643.26,48654.89,28.000000000000004,0,None
32ZFBFX0164J1Z5,Grocery,13397.35,669.87,14067.220000000001,5.0,0,None
11GUWET9833K1Z5,Services,42127.58,7582.96,49710.54,18.0,0,None
06YPWEX8965L1Z5,Grocery,7506.57,375.33,7881.9,5.0,0,None
16CJQAY8767V1Z5,Luxury Goods,28280.35,7918.5,36198.85,28.000000000000004,0,None
10UDKYV8603S1Z5,Books,1435.99,71.8,1507.79,5.0,0,None
02IUFZJ5022V1Z5,Grocery,35221.83,1761.09,36982.92,5.0,0,None
19KMWCA5542T1Z5,Luxury Goods,24765.84,6934.44,31700.28,28.000000000000004,0,None
36TEISI3381F1Z5,Grocery,44848.45,8072.72,52921.17,5.0,1,Rate Mismatch
31DAZCQ3437D1Z5,Essential Medicine,32433.96,3892.08,36326.04,12.0,0,None
06NIVJD3529L1Z5,Services,47084.5,8475.21,55509.71,18.0,1,Calculation Error
14MJFYY8921Q1Z5,Services,14531.54,2615.68,17147.22,18.0,0,None
MMMQJRJVKMUVAU9,Electronics,15895.0,2861.1,18756.1,18.0,1,Invalid GSTIN
16XCDDF1500X1Z5,Services,11641.42,2095.46,13736.880000000001,18.0,0,None
20FHWFU6857D1Z5,Luxury Goods,27216.05,7620.49,34836.54,28.000000000000004,0,None
25ILXQI1926K1Z5,Luxury Goods,15352.49,4298.7,19651.19,28.000000000000004,0,None
17LJJZN7730R1Z5,Services,46162.67,8309.28,54521.95,18.0,1,Calculation Error
11CVAGX1572R1Z5,Services,36129.59,0,-100,18.0,1,Anomalous Value
04YVYMR4848U1Z5,Luxury Goods,29702.71,8316.76,38019.47,28.000000000000004,0,None
27LFZBW9333Z1Z5,Luxury Goods,17168.49,0,-100,28.000000000000004,1,Anomalous Value
13XUGCX3940O1Z5,Electronics,23698.38,4265.71,27964.09,18.0,0,None
08DKFTZ9246O1Z5,Essential Medicine,48979.32,5877.52,54856.84,12.0,0,None
23LCMBG5755B1Z5,Essential Medicine,4904.16,588.5,5492.66,12.0,0,None
36LFLDC9935S1Z5,Books,9178.58,458.93,9637.51,5.0,0,None
16DVSYY8078I1Z5,Luxury Goods,47442.04,13283.77,60725.81,28.000000000000004,0,None
18SYGDK9984A1Z5,Essential Medicine,662.14,79.46,741.6,12.0,0,None
17TISVK7620B1Z5,Grocery,44912.11,2245.61,47157.72,5.0,0,None
24OSUAO5493T1Z5,Services,27787.71,5001.79,32789.5,18.0,0,None
21UONUT0940B1Z5,Luxury Goods,1483.64,415.42,1899.0600000000002,28.000000000000004,0,None
31OMPRW1270R1Z5,Essential Medicine,24376.62,2925.19,27301.809999999998,12.0,0,None
34MZILY1588H1Z5,Services,39092.75,7036.69,46129.44,18.0,0,None
12ENKSZ6254V1Z5,Books,47288.72,2364.44,49653.16,5.0,0,None
07CSUSS8266V1Z5,Books,18874.33,943.72,19818.050000000003,5.0,0,None
